Id,Genre,Allemand,Français,Papier,Anki,Besoin plus d'info,Catégorie 1,Catégorie 2
2,die,Ente,le canard,true,,,Nom,
3,,starten,démarrer,true,,,Verbe,
4,,gerade,tout droit (ou nombres pairs),true,,,,
5,die,Art,la sorte,true,,,Nom,
6,,niedrig,bas. Peu élevé,true,,,,
7,die,Tastatur,le clavier,true,,,Nom,
8,,gucken,regarder (zieuter),true,,,Verbe,
9,der,Schmetterling,le papillon,true,,,Nom,
10,,wild,sauvage,true,,,,
11,,überreden,Persuader,true,,,Verbe,
12,die,Schiene,le rail,true,,,Nom,
13,,gelb,jaune,true,,,,
14,die,Achterbahn,la montagne russe,true,,,Nom,
15,die,Kugel,la balle,true,,,Nom,
16,,paddeln,pagailler,true,,,Verbe,
17,das,Boot,le bateau,true,,,Nom,
18,,mieten,louer,true,,,Verbe,
19,der,Fortschritt,le progrès,true,,,Nom,
20,,manch,autant que,true,,,,
21,,stets,tout le temps / chaque fois / pour toujours,true,,,,
22,die,Funktion,la fonction,true,,,Nom,
23,,funktionieren,fonctionner,true,,,Verbe,
24,die,Fitness,"le fitness, la condition physique",true,,,Nom,
25,das,Fitnesstraining,le workout,true,,,Nom,
26,,ruhig,calme,true,,,,
27,die,Rezeption,"la réception, (dans le sens ""help desk"")",true,,,Nom,
28,,Fern-,"préfixe : ""à longue porté""",true,,,,
29,der,Fernseher,la télévision,true,,,Nom,
30,der,Ausflug,"l'execursion, le voyage",true,,,Nom,
31,der,Buchladen,la librairie (bookshop),true,,,Nom,
32,die,Bar,le bar,true,,,Nom,
33,der,Strand,la plage,true,,,Nom,
34,der,Pass,le passeport,true,,,Nom,
35,das,DoppelZimmer,la chambre double,true,,,Nom,
36,,Doppel-,préfixe : double,true,,,,
37,das,Einzelzimmer,La chambre simple,true,,,Nom,
38,,einzel,simple. unique. (tennis en simple. Chambre simple (vs chambre double)),true,,,,
39,,pflanzen,planter,true,,,,
40,die,Pflanze,la plante,true,,,Nom,
41,die,Decke,la couverture,true,,,Nom,
42,,rot,rouge,true,,,,
43,die,Mikrowelle,le micro onde,true,,,Nom,
44,das,Esszimmer,la salle à manger,true,,,Nom,
45,die,Blumen,les fleurs,true,,,Nom,
46,die,Blume,la fleur,true,,,Nom,
47,das,Wohnzimmer,le living,true,,,Nom,
48,der,Kaffeetisch,la table basse (coffee table),true,,,Nom,
49,das,Sofa,le canapé,true,,,Nom,
50,die,Vase,le vase,true,,,Nom,
51,die,Nachbarin,la voisine,true,,,Nom,
52,,wohnen,habiter,true,,,Verbe,
53,das,Mehrfamilienhause,l'immeuble,true,,,Nom,
54,,zurzeit,Aujourd'hui. ces jours ci. en ce moment,true,,,,
55,die,Treppe,les escaliers,true,,,Nom,
56,,mal,"le nombre de fois. fois. en anglais : ""times""",true,,,,
57,die,Kundin,la cliente,true,,,Nom,
58,,gemeinsam,mutuel. joint. en commun,true,,,,
